front,back,domain,tags
What is the MITRE ATT&CK framework?,A knowledge base of adversary tactics and techniques used to map and understand attacker behavior.,3,threat-intel mitre
What is a threat actor's 'TTP'?,"Tactics, Techniques, and Procedures - the behavioral patterns describing how an actor operates.",3,threat-intel ttp
Nation-state vs Hacktivist - which is motivated by ideology?,A hacktivist is driven by ideology or a cause; a nation-state actor is driven by geopolitical/strategic goals and is well-resourced.,3,threat-intel actors
What is an insider threat?,"A risk posed by someone with legitimate access (employee, contractor) who misuses it.",3,threat-intel actors
What is shadow data?,"Unmanaged copies of data outside official systems, increasing exposure risk.",3,vulnerabilities shadow-it
What is an unsecured API as a vulnerability?,"An exposed API lacking proper authentication, rate limiting, or input validation, enabling abuse.",3,vulnerabilities api
What is a default credential vulnerability?,"Leaving factory-set usernames/passwords in place, which attackers can easily exploit.",3,vulnerabilities config
Indicator: 'adversary technique mapped to Tactic/Technique IDs' -> ?,MITRE ATT&CK.,3,threat-intel keyword
What is data sovereignty?,The principle that data is subject to the laws of the country where it is physically stored.,5,governance data-sovereignty
What is risk appetite?,The amount and type of risk an organization is willing to accept to pursue its objectives.,5,risk appetite
What is risk tolerance?,The acceptable variation around the risk appetite for a specific risk or objective.,5,risk tolerance
What is qualitative vs quantitative risk analysis?,"Qualitative uses subjective ratings (high/med/low); quantitative uses numeric/monetary values (ALE, SLE).",5,risk analysis
What is SLE (Single Loss Expectancy)?,The monetary loss expected from a single occurrence of a risk (Asset Value times Exposure Factor).,5,risk quantitative
What is ALE (Annualized Loss Expectancy)?,The expected yearly loss from a risk (SLE times ARO).,5,risk quantitative
What is ARO?,Annualized Rate of Occurrence - how many times per year a risk is expected to occur.,5,risk quantitative
"If SLE is $10,000 and ARO is 2, what is ALE?","$20,000 - ALE = SLE times ARO.",5,risk quantitative
What are the four risk response strategies?,"Accept, Avoid, Transfer (share), and Mitigate.",5,risk response
Risk Transfer vs Risk Acceptance - which uses insurance?,"Risk transfer shifts the risk to a third party (e.g., insurance); acceptance means choosing to bear the risk as-is.",5,risk response
What is a risk register?,"A documented record of identified risks, their assessment, owners, and treatment plans.",5,risk register
What is inherent vs residual risk?,Inherent risk exists before controls; residual risk remains after controls are applied.,5,risk register
What is a Business Impact Analysis (BIA)?,An analysis identifying critical functions and the impact of their disruption to prioritize recovery.,5,governance bia
"What is the difference between a policy, standard, and procedure?",A policy states intent; a standard defines mandatory specifics; a procedure gives step-by-step instructions.,5,governance documents
What is an SLA?,Service Level Agreement - a contract defining expected service performance and remedies.,5,governance agreements
What is an MOU?,Memorandum of Understanding - a non-binding agreement outlining intentions between parties.,5,governance agreements
What is an MSA?,Master Service Agreement - an overarching contract governing the general terms of an ongoing relationship.,5,governance agreements
What is a BPA?,"Business Partners Agreement - defines terms, responsibilities, and profit sharing between partners.",5,governance agreements
What is an NDA?,Non-Disclosure Agreement - a contract protecting confidential information from disclosure.,5,governance agreements
What is due diligence vs due care?,Due diligence is investigating and understanding risks; due care is taking reasonable action to address them.,5,governance terms
What is a data owner?,"The senior individual accountable for a data set's classification, protection, and use.",5,governance data-roles
What is a data custodian?,"The role responsible for the technical handling, storage, and protection of data per the owner's direction.",5,governance data-roles
What is a data processor vs data controller (GDPR)?,The controller determines why/how data is processed; the processor handles data on the controller's behalf.,5,governance privacy
What is data classification?,"Labeling data by sensitivity (e.g., public, internal, confidential, restricted) to apply appropriate controls.",5,governance classification
What is GDPR?,General Data Protection Regulation - EU privacy law governing personal data processing and individual rights.,5,governance privacy
What is PCI DSS?,Payment Card Industry Data Security Standard - security requirements for handling cardholder data.,5,governance compliance
What is the right to be forgotten?,A privacy right allowing individuals to request deletion of their personal data.,5,governance privacy
What is a data retention policy?,Rules defining how long data is kept and when it must be securely destroyed.,5,governance retention
What is data minimization?,Collecting and retaining only the personal data strictly necessary for a stated purpose.,5,governance privacy
What is the purpose of a third-party risk assessment?,Evaluating the security posture and risk introduced by vendors and partners before and during engagement.,5,governance third-party
What is a penetration test rules of engagement (RoE)?,"A document defining the scope, timing, methods, and limits of an authorized penetration test.",5,governance pentest
What is the difference between an audit and an assessment?,"An audit is a formal, often external compliance check against a standard; an assessment is a broader evaluation of posture.",5,governance audit
What is attestation in compliance?,A formal declaration confirming that controls or statements are true and meet requirements.,5,governance compliance
What is the chain of custody?,"Documentation tracking the seizure, control, transfer, and analysis of evidence to ensure admissibility.",5,governance forensics
What is legal hold?,"A process to preserve all relevant data when litigation is anticipated, suspending normal deletion.",5,governance forensics
What is the order of volatility in forensics?,Collecting evidence from most volatile (CPU/RAM) to least volatile (archived media) to preserve data.,5,governance forensics
What is e-discovery?,"The process of identifying, collecting, and producing electronic information for legal proceedings.",5,governance forensics
What is a tabletop exercise?,A discussion-based session walking through an incident response scenario to test the plan without live action.,5,incident-response exercises
What are the NIST incident response phases?,"Preparation; Detection and Analysis; Containment, Eradication, and Recovery; Post-Incident Activity.",5,incident-response phases
What is the containment phase of IR?,Limiting the spread and impact of an incident to prevent further damage.,5,incident-response phases
What is the lessons-learned (post-incident) phase?,"Reviewing the incident response to improve processes, controls, and the plan.",5,incident-response phases
What is a root cause analysis?,"A structured investigation to determine the underlying cause of an incident, not just symptoms.",5,incident-response analysis
Indicator: 'preserve all data because litigation is expected' -> ?,Legal hold.,5,governance keyword
Indicator: 'SLE multiplied by ARO' -> ?,ALE (Annualized Loss Expectancy).,5,risk keyword
Indicator: 'discussion-based walkthrough of an incident scenario' -> ?,Tabletop exercise.,5,incident-response keyword
